ticker,company,price,volume,mkt_value,type
3008,大立光,4210.0,263,1109710000.0,上市
6409,旭隼,613.0,13,8019999.999999999,上市
5269,祥碩,514.0,153,78740000.0,上市
6415,矽力-KY,482.5,112,54430000.0,上市
2207,和泰車,439.5,136,59840000.00000001,上市
1476,儒鴻,398.0,121,48220000.0,上市
3563,牧德,380.0,208,78920000.0,上市
3406,玉晶光,376.5,5509,2061029999.9999998,上市
6669,緯穎,345.0,127,43710000.0,上市
1590,亞德客-KY,341.0,621,213750000.00000003,上市
2059,川湖,309.5,42,12980000.0,上市
2912,統一超,299.5,248,74050000.0,上市
2454,聯發科,290.0,2513,727310000.0,上市
2231,為升,286.0,102,29010000.000000004,上市
8341,日友,275.5,106,29080000.0,上市
4137,麗豐-KY,259.0,402,102860000.0,上市
9910,豐泰,253.5,291,73620000.0,上市
2327,國巨,253.5,3195,819230000.0,上市
8454,富邦媒,253.0,9,2280000.0,上市
2330,台積電,248.5,10100,2506920000.0,上市
2395,研華,246.5,158,39070000.0,上市
2049,上銀,244.0,2402,587790000.0,上市
6452,康友-KY,238.0,1781,412890000.0,上市
9921,巨大,234.0,950,221060000.0,上市
6414,樺漢,233.0,160,37210000.0,上市
8464,億豐,229.0,610,140160000.0,上市
3443,創意,228.0,3785,864380000.0,上市
2379,瑞昱,223.5,2468,559990000.0,上市
8462,柏文,220.0,67,14720000.0,上市
3533,嘉澤,219.0,492,108060000.0,上市
1477,聚陽,218.5,304,66320000.0,上市
1707,葡萄王,216.5,40,8670000.0,上市
3665,貿聯-KY,216.0,629,136280000.0,上市
2474,可成,215.5,2731,588800000.0,上市
2357,華碩,215.5,318,68110000.0,上市
3034,聯詠,197.0,2104,416990000.0,上市
2723,美食-KY,190.5,41,7840000.0,上市
9914,美利達,190.0,1970,371380000.0,上市
6666,羅麗芬-KY,180.0,29,5220000.0,上市
1256,鮮活果汁-KY,179.0,15,2690000.0,上市
2439,美律,171.5,731,124720000.00000001,上市
3130,一零四,169.0,2,340000.0,上市
8422,可寧衛,168.5,31,5210000.0,上市
2492,華新科,167.5,5415,913890000.0,上市
8070,長華,166.0,38,6329999.999999999,上市
6670,復盛應用,164.5,144,23680000.0,上市
1537,廣隆,164.5,48,7879999.999999999,上市
6504,南六,164.5,2,330000.0,上市
4438,廣越,164.0,95,15700000.0,上市
4766,南寶,163.5,169,27500000.000000004,上市
2404,漢唐,163.5,3668,608520000.0,上市
6230,超眾,161.5,1922,304410000.0,上市
2707,晶華,157.0,53,8320000.0,上市
4763,材料-KY,151.0,49,7350000.0,上市
5288,豐祥-KY,146.5,122,17830000.0,上市
2308,台達電,146.5,1698,250349999.99999997,上市
4536,拓凱,146.5,44,6450000.0,上市
1558,伸興,146.0,68,9910000.0,上市
8482,商億-KY,140.0,42,5880000.0,上市
8016,矽創,138.5,1391,194180000.0,上市
2360,致茂,135.0,957,129380000.0,上市
4943,康控-KY,135.0,5890,768350000.0,上市
1723,中碳,131.0,28,3670000.0000000005,上市
2345,智邦,129.0,1377,179960000.0,上市
4912,聯德控股-KY,126.0,18,2270000.0,上市
3376,新日興,119.5,726,86890000.0,上市
5871,中租-KY,117.0,1769,209240000.0,上市
6552,易華電,117.0,3379,406390000.0,上市
3454,晶睿,116.0,44,5100000.0,上市
3413,京鼎,115.0,106,12130000.0,上市
3045,台灣大,114.5,428,48950000.0,上市
1232,大統益,114.0,103,11720000.0,上市
9941,裕融,113.5,110,12530000.0,上市
2239,英利-KY,112.0,11,1230000.0,上市
3023,信邦,111.5,170,19010000.0,上市
6271,同欣電,111.5,3322,372130000.0,上市
2412,中華電,111.0,690,76360000.0,上市
6505,台塑化,110.5,676,74350000.0,上市
1301,台塑,109.5,1125,122560000.0,上市
6213,聯茂,107.0,1697,182330000.0,上市
1326,台化,106.5,3432,365300000.0,上市
3532,台勝科,106.0,198,21010000.0,上市
6533,晶心科,104.5,564,58390000.0,上市
8114,振樺電,104.5,5,520000.0,上市
4190,佐登-KY,103.0,69,7049999.999999999,上市
6176,瑞儀,102.5,571,58050000.0,上市
4551,智伸科,102.5,36,3670000.0000000005,上市
3653,健策,101.5,1103,112150000.0,上市
8499,鼎炫-KY,101.5,18,1820000.0,上市
2939,凱羿-KY,101.5,6,610000.0,上市
4119,旭富,100.5,2066,204700000.00000003,上市
3026,禾伸堂,99.8,405,40460000.0,上市
1760,寶齡富錦,99.4,743,73970000.0,上市
6451,訊芯-KY,97.1,451,43350000.0,上市
6456,GIS-KY,96.7,1482,142950000.0,上市
6581,鋼聯,96.5,4,390000.0,上市
3044,健鼎,96.4,750,71960000.0,上市
2383,台光電,95.5,1800,173250000.0,上市
3617,碩天,95.3,208,19790000.0,上市
8081,致新,94.8,1201,114310000.0,上市
5274,信驊,633.0,138,87820000.0,上櫃
1565,精華,526.0,50,26210000.0,上櫃
4966,譜瑞-KY,512.0,52,26540000.000000004,上櫃
8436,大江,484.0,237,115180000.0,上櫃
6510,精測,436.5,85,37050000.0,上櫃
5904,寶雅,374.5,5,1870000.0000000002,上櫃
3529,力旺,345.0,167,58420000.00000001,上櫃
6488,環球晶,330.0,1641,544960000.0,上櫃
6643,M31,301.0,32,9670000.0,上櫃
8299,群聯,278.0,315,87400000.0,上櫃
3081,聯亞,266.0,659,176330000.0,上櫃
3293,鈊象,265.0,952,256930000.0,上櫃
2729,瓦城,258.0,2,520000.0,上櫃
3611,鼎翰,257.0,92,23450000.0,上櫃
8437,大地-KY,256.5,8,2050000.0,上櫃
6121,新普,254.5,522,133040000.0,上櫃
6462,神盾,249.0,3300,822289999.9999999,上櫃
3152,璟德,247.0,78,19330000.0,上櫃
5278,尚凡,223.0,53,11980000.0,上櫃
1264,德麥,215.0,4,860000.0,上櫃
5263,智崴,206.0,402,82530000.0,上櫃
6561,是方,203.5,143,29250000.0,上櫃
8406,金可-KY,203.5,21,4260000.0,上櫃
3105,穩懋,193.5,6093,1190330000.0,上櫃
6803,崑鼎,190.5,28,5330000.0,上櫃
6146,耕興,188.0,16,3000000.0,上櫃
5536,聖暉,182.0,90,16300000.0,上櫃
6613,朋億,172.0,7,1200000.0,上櫃
6568,宏觀,162.0,8,1300000.0,上櫃
6238,勝麗,153.5,376,57550000.0,上櫃
6516,勤崴國際,153.0,27,4120000.0,上櫃
4947,昂寶-KY,151.0,149,22700000.0,上櫃
8083,瑞穎,148.0,3,440000.0,上櫃
6472,保瑞,147.5,635,93400000.0,上櫃
4736,泰博,141.0,534,74840000.0,上櫃
1268,漢來美食,140.5,54,7489999.999999999,上櫃
4174,浩鼎,139.5,107,15029999.999999998,上櫃
4147,中裕,137.0,331,45760000.0,上櫃
4803,VHQ-KY,136.5,277,37740000.0,上櫃
8044,網家,134.0,133,17820000.0,上櫃
3131,弘塑,132.0,8,1070000.0,上櫃
3227,原相,129.0,4209,539260000.0,上櫃
4163,鐿鈦,128.5,321,41380000.0,上櫃
2926,誠品生活,126.5,7,890000.0,上櫃
3324,雙鴻,125.5,4086,507240000.0,上櫃
6274,台燿,124.0,1765,220060000.0,上櫃
8416,實威,120.0,3,360000.0,上櫃
8279,生展,120.0,6,720000.0,上櫃
2732,六角,118.5,276,33130000.0,上櫃
1580,新麥,117.5,44,5180000.0,上櫃
6446,藥華藥,117.0,431,52210000.0,上櫃
8446,華研,115.0,102,11820000.0,上櫃
4107,邦特,115.0,69,7900000.0,上櫃
3630,新鉅科,115.0,3207,372170000.0,上櫃
5289,宜鼎,114.5,101,11590000.0,上櫃
5306,桂盟,113.5,29,3300000.0,上櫃
6683,雍智科技,113.0,63,7130000.0,上櫃
4953,緯軟,112.0,607,67910000.0,上櫃
6435,大中,110.5,312,34300000.0,上櫃
3691,碩禾,108.5,3193,350340000.0,上櫃
8489,三貝德,108.5,1421,154700000.0,上櫃
6294,智基,108.0,10,1090000.0,上櫃
1788,杏昌,105.5,10,1050000.0,上櫃
8066,來思達,104.5,66,6900000.000000001,上櫃
1795,美時,104.0,10435,1086390000.0,上櫃
8255,朋程,104.0,37,3860000.0000000005,上櫃
5299,杰力,104.0,960,100180000.0,上櫃
3527,聚積,103.5,385,40130000.0,上櫃
8444,綠河-KY,103.0,2,210000.0,上櫃
3558,神準,99.1,16,1590000.0,上櫃
8109,博大,96.4,24,2320000.0,上櫃
4162,智擎,95.5,107,10160000.0,上櫃
3491,昇達科,94.2,5395,512690000.0,上櫃
6615,慧智,93.8,6,560000.0,上櫃
6111,大宇資,91.8,399,36470000.0,上櫃
1597,直得,90.4,356,32029999.999999996,上櫃
6679,鈺太,89.1,157,13900000.000000002,上櫃
4152,台微體,87.0,14,1220000.0,上櫃
3541,西柏,85.2,81,6890000.0,上櫃
4549,桓達,85.1,4,340000.0,上櫃
3570,大塚,85.1,321,27320000.0,上櫃
6499,益安,83.9,11,920000.0,上櫃
6411,晶焱,83.2,740,61539999.99999999,上櫃
9951,皇田,81.3,71,5750000.0,上櫃
4105,東洋,80.4,56,4500000.0,上櫃
5483,中美晶,78.6,8961,702810000.0,上櫃
2066,世德,78.5,2,160000.0,上櫃
8091,翔名,78.3,16,1250000.0,上櫃
4126,太醫,77.7,77,6020000.0,上櫃
1777,生泰,77.2,2,150000.0,上櫃
6469,大樹,77.1,12,920000.0,上櫃
4123,晟德,76.0,1001,75440000.0,上櫃
6150,撼訊,75.6,2053,155560000.0,上櫃
2726,雅茗-KY,75.0,298,22640000.0,上櫃
8942,森鉅,74.7,111,8280000.0,上櫃
3455,由田,74.3,939,69540000.0,上櫃
2235,謚源,73.8,89,6560000.000000001,上櫃
6279,胡連,73.7,41,3040000.0,上櫃
6576,逸達,73.4,160,11750000.0,上櫃
5474,聰泰,73.3,6,440000.0,上櫃
